id_cliente_hash,idade_cadastro_dias,valor_ultima_compra,qtd_compras_ultimos_6_meses,categoria_cliente,ticket_medio,dias_desde_ultima_compra,churn
c0276,1901,244.33,1,silver,74.8,275,0
c0277,1047,200.23,2,silver,98.23,273,0
c0278,1798,117.36,1,gold,120.24,87,0
c0279,1794,149.9,2,silver,112.91,299,0
c0280,1538,,3,silver,63.42,172,0
c0281,1488,177.03,3,gold,109.37,78,1
c0282,1157,,7,bronze,84.27,337,0
c0283,1165,130.36,3,silver,126.4,142,0
c0284,1664,161.72,3,bronze,194.59,388,1
c0285,859,118.39,7,silver,145.0,359,1
c0286,1892,102.63,1,bronze,107.48,328,1
c0287,1757,177.11,2,bronze,55.0,394,1
c0288,755,232.97,3,silver,63.41,115,0
c0289,829,88.24,5,bronze,52.53,177,0
c0290,1431,180.21,4,bronze,149.04,78,0
c0291,1846,141.0,2,bronze,89.4,310,1
c0292,202,121.37,3,gold,122.5,158,1
c0293,146,,3,bronze,95.12,373,0
c0294,503,148.91,3,silver,123.65,63,0
c0295,865,269.9,6,bronze,176.07,398,1
c0296,333,133.21,2,bronze,92.6,77,0
c0297,1043,203.19,1,silver,106.36,119,0
c0298,1087,166.36,0,silver,87.75,383,1
c0299,1902,134.76,3,gold,154.98,261,0
